,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
514,1967-68,,TOT,ABA,SG,62,1067,12.3,.470,.005,.169,,,4.8,8.4,13.7,24.0,,0.8,0.7,1.5,.066,thomawi01
515,1967-68,,DNR,ABA,SG,24,542,13.2,.461,.007,.105,,,5.0,8.0,13.8,26.3,,0.3,0.6,0.8,.075,thomawi01
516,1967-68,,ANA,ABA,SG,38,525,11.3,.480,.004,.249,,,4.7,8.9,13.7,21.7,,0.5,0.1,0.6,.058,thomawi01
517,1968-69,22,INA,ABA,,2,4,5.0,.333,.333,.000,,,10.8,74.8,40.0,44.5,,0.0,0.0,0.0,-0.088,thompja01
518,1967-68,24,MNM,ABA,C,63,1203,17.7,.470,.002,.345,,,15.7,7.1,12.3,18.3,,0.8,3.6,4.4,.176,thoresk01
519,,25,MMF,ABA,C,78,2645,20.1,.513,.002,.356,,,18.5,10.5,12.4,19.8,,3.3,3.6,7.0,.126,thoresk01
520,1969-70,26,MMF,ABA,C,29,1020,15.7,.486,.005,.426,,,17.5,10.1,17.4,18.4,,0.5,1.2,1.6,.077,thoresk01
521,1968-69,22,MMF,ABA,SF,45,756,9.1,.488,.036,.502,,,7.4,11.0,20.8,18.3,,0.4,0.7,1.1,.069,thornda01
522,1969-70,23,MMF,ABA,SF,5,114,8.5,.518,.057,.486,,,8.8,12.7,29.8,19.1,,0.1,0.1,0.2,.092,thornda01
523,1967-68,,HSM,ABA,,2,21,10.1,.904,.000,1.500,,,6.2,0.0,37.6,9.6,,0.1,0.0,0.1,.238,turnega01
524,1967-68,29,TOT,ABA,PG,41,500,2.2,.365,.164,.296,,,6.4,12.1,20.0,16.3,,-0.8,0.2,-0.6,-0.055,turnehe01
525,1967-68,29,PTP,ABA,PG,9,65,-2.1,.338,.048,.286,,,3.9,10.0,22.8,17.6,,-0.1,0.0,-0.1,-0.065,turnehe01
526,1967-68,29,ANA,ABA,PG,32,435,2.8,.368,.181,.297,,,6.8,12.4,19.6,16.1,,-0.6,0.1,-0.5,-0.054,turnehe01
