,season,school_name,conf_abbr,g,gs,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_40,id,cbb_id
947,1999-00,Iowa State,Big 12,37,37,1243,.625,.595,.075,.425,,,,,,,,10.2,,,6.2,3.4,9.6,.308,fizerma01,marcus-fizer-1
948,1999-00,Rutgers,Big East,29,,312,.544,.482,.195,.585,,,,,,,,,,,0.5,0.3,0.9,.109,florelu01,luis-flores-1
949,2001-02,Manhattan,MAAC,29,28,1055,.581,.505,.241,.476,,,,6.2,13.9,,0.4,16.5,26.0,,3.2,1.5,4.7,.180,florelu01,luis-flores-1
950,2002-03,Manhattan,MAAC,30,30,1166,.592,.510,.285,.482,,,,8.4,17.2,,0.7,13.6,30.5,,4.4,2.0,6.4,.220,florelu01,luis-flores-1
951,2003-04,Manhattan,MAAC,31,31,1121,.578,.507,.344,.456,,,,,,,,10.2,,,4.2,1.9,6.1,.218,florelu01,luis-flores-1
952,2007-08,Syracuse,Big East,35,35,1243,.567,.526,.387,.341,,,,4.1,26.8,,0.3,16.4,21.5,,2.6,1.2,3.7,.120,flynnjo01,jonny-flynn-1
953,2008-09,Syracuse,Big East,38,38,1418,.567,.507,.298,.481,,,,,,,,18.1,,,3.3,1.5,4.9,.137,flynnjo01,jonny-flynn-1
954,1993-94,Washington State,Pac-10,31,,714,.534,.516,.311,.257,,,,,,,,,,,,,,,fontais01,isaac-fontaine-1
955,1994-95,Washington State,Pac-10,30,,1000,.612,.573,.211,.414,,,,,,,,,,,,,,,fontais01,isaac-fontaine-1
956,1995-96,Washington State,Pac-10,29,,995,.595,.549,.361,.358,,,,,,,,,,,3.2,1.2,4.5,.180,fontais01,isaac-fontaine-1
957,1996-97,Washington State,Pac-10,30,,1030,.621,.581,.384,.409,,,,,,,,,,,4.6,0.7,5.4,.208,fontais01,isaac-fontaine-1
958,2007-08,Cornell,Ivy,22,0,472,.566,.553,.000,.719,,,,17.6,12.9,,4.5,17.3,20.2,,0.8,1.2,2.0,.171,footeje01,jeff-foote-1
959,2008-09,Cornell,Ivy,31,30,884,.558,.531,.000,.538,,,,,,,,15.6,,,1.8,2.7,4.5,.202,footeje01,jeff-foote-1
960,2009-10,Cornell,Ivy,34,34,949,.625,.625,.000,.557,424,10.5,25.1,18.1,16.9,1.2,7.6,20.1,23.5,,2.9,1.8,4.8,.201,footeje01,jeff-foote-1
961,2003-04,Virginia,ACC,31,17,724,.476,.468,.269,.319,,,,9.2,12.3,,2.5,19.2,20.5,,0.2,1.0,1.2,.064,forbega01,gary-forbes-1
962,2004-05,Virginia,ACC,29,4,651,.521,.509,.289,.280,,,,10.1,8.3,,2.0,16.2,23.5,,0.8,0.7,1.5,.094,forbega01,gary-forbes-1
963,2006-07,UMass,A-10,33,23,939,.506,.472,.277,.424,,,,11.3,16.1,,1.2,15.7,25.0,,0.9,1.9,2.7,.117,forbega01,gary-forbes-1
964,2007-08,UMass,A-10,36,36,1214,.508,.457,.341,.425,,,,11.4,17.8,,1.3,14.1,29.9,,1.4,2.2,3.6,.119,forbega01,gary-forbes-1
965,1989-90,Mississippi Valley State,SWAC,27,,859,.548,.520,.439,.261,,,,,,,,8.3,,,,,,,fordal01,alphonso-ford-1
966,1990-91,Mississippi Valley State,SWAC,28,,934,.587,.551,.389,.350,,,,,,,,8.7,,,,,,,fordal01,alphonso-ford-1
967,1991-92,Mississippi Valley State,SWAC,26,,864,.547,.509,.390,.319,,,,,,,,10.3,,,,,,,fordal01,alphonso-ford-1
968,1992-93,Mississippi Valley State,SWAC,28,,916,.546,.502,.374,.324,,,,,,,,11.7,,,,,,,fordal01,alphonso-ford-1
969,2000-01,Houston,CUSA,26,18,663,.494,.452,.155,.605,,,,,,,,18.9,,,0.5,0.7,1.2,.070,fordal02,alton-ford-1
970,2001-02,Clemson,ACC,30,0,423,.588,.606,.000,.354,,,,13.3,0.9,,4.1,22.2,16.0,,0.7,0.9,1.6,.153,fordsh02,sharrod-ford-1
971,2002-03,Clemson,ACC,28,27,675,.549,.564,.000,.462,,,,16.3,5.2,,2.0,15.5,16.8,,0.9,1.5,2.4,.143,fordsh02,sharrod-ford-1
972,2003-04,Clemson,ACC,28,28,803,.569,.537,.009,.736,,,,14.3,4.6,,5.5,19.4,21.7,,1.8,1.1,2.9,.145,fordsh02,sharrod-ford-1
973,2004-05,Clemson,ACC,32,32,922,.532,.512,.008,.507,,,,15.8,8.7,,5.4,15.8,26.6,,1.7,2.7,4.4,.191,fordsh02,sharrod-ford-1
974,1992-93,UIC,Mid-Cont,32,,1044,.521,.505,.182,.246,,,,,,,,,,,,,,,fordsh01,sherell-ford-1
975,1993-94,UIC,Mid-Cont,29,,999,.549,.521,.155,.307,,,,,,,,,,,,,,,fordsh01,sherell-ford-1
976,1994-95,UIC,MW Coll,27,,969,.550,.513,.201,.302,,,,,,,,,,,,,,,fordsh01,sherell-ford-1
