,season,school_name,conf_abbr,g,gs,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_40,bpm-dum,obpm,dbpm,bpm,id,cbb_id
1163,2014-15,Kentucky,SEC,39,39,822,31.4,.627,.570,.031,.523,391,14.2,22.3,18.5,11.6,1.4,11.5,14.2,23.7,,3.5,2.9,6.4,.311,,6.5,10.8,17.3,townska01,karl-anthony-towns-1
1164,2014-15,Texas,Big 12,34,7,755,25.5,.556,.488,.241,.436,310,7.2,24.9,16.7,6.2,0.8,12.3,13.2,25.1,,1.9,2.1,4.0,.213,,1.5,7.3,8.7,turnemy01,myles-turner-1
1165,2014-15,Kentucky,SEC,37,0,882,15.6,.551,.506,.467,.315,251,2.3,6.3,4.4,27.2,2.6,0.2,16.7,13.5,,2.1,2.1,4.2,.190,,5.3,3.7,9.0,ulisty01,tyler-ulis-1
1166,2015-16,Kentucky,SEC,35,35,1288,23.9,.567,.497,.362,.441,666,1.7,7.1,4.6,34.3,2.3,0.3,11.4,23.2,,5.4,1.7,7.1,.221,,8.5,1.0,9.6,ulisty01,tyler-ulis-1
1167,2013-14,Iowa,Big Ten,33,0,601,21.5,.609,.551,.238,.488,235,7.5,20.0,13.9,7.9,1.0,6.4,13.0,19.1,,1.6,1.1,2.7,.183,,3.8,4.2,8.0,uthofja01,jarrod-uthoff-1
1168,2014-15,Iowa,Big Ten,34,34,1031,22.8,.529,.504,.399,.209,392,6.7,17.2,12.0,12.8,2.3,6.2,8.1,22.0,,2.6,2.2,4.8,.188,,5.3,5.9,11.2,uthofja01,jarrod-uthoff-1
1169,2015-16,Iowa,Big Ten,33,33,1016,28.0,.559,.515,.355,.308,539,5.1,16.7,11.0,7.6,1.8,9.0,6.4,29.1,,3.4,2.0,5.4,.212,,5.1,5.1,10.2,uthofja01,jarrod-uthoff-1
1170,2012-13,Michigan State,Big Ten,36,15,749,13.5,.519,.497,.368,.252,212,6.5,18.0,12.3,22.3,2.3,1.8,29.0,17.1,,0.5,1.5,2.0,.106,,1.7,4.8,6.5,valende01,denzel-valentine-1
1171,2013-14,Michigan State,Big Ten,38,32,1116,14.7,.512,.489,.430,.245,358,5.2,18.2,12.0,22.6,2.0,1.3,18.9,17.0,,1.5,2.0,3.6,.128,,2.8,4.0,6.9,valende01,denzel-valentine-1
1172,2014-15,Michigan State,Big Ten,39,39,1295,21.9,.584,.557,.551,.193,563,4.4,17.6,11.2,26.9,1.7,0.8,15.9,24.2,,3.9,2.1,6.0,.184,,7.7,2.9,10.6,valende01,denzel-valentine-1
1173,2015-16,Michigan State,Big Ten,31,30,1022,29.7,.608,.579,.527,.214,622,3.0,21.2,12.8,45.8,1.9,0.7,14.8,28.4,,5.0,2.2,7.3,.284,,12.2,4.4,16.5,valende01,denzel-valentine-1
1174,2012-13,Wichita State,MVC,39,0,630,14.4,.485,.451,.320,.261,192,2.4,12.2,7.0,27.3,3.4,0.4,21.1,17.8,,0.8,1.1,1.8,.116,,0.9,2.6,3.5,vanvlfr01,fred-van-vleet-1
1175,2013-14,Wichita State,MVC,36,36,1141,24.0,.613,.552,.329,.487,469,2.8,11.0,7.1,33.6,3.7,0.4,12.3,17.9,,4.4,2.8,7.2,.251,,7.0,3.7,10.7,vanvlfr01,fred-van-vleet-1
1176,2014-15,Wichita State,MVC,35,35,1104,26.7,.552,.487,.319,.476,520,4.4,13.0,8.6,35.0,3.9,0.4,12.1,24.0,,4.4,2.6,7.0,.253,,7.7,3.9,11.6,vanvlfr01,fred-van-vleet-1
1177,2015-16,Wichita State,MVC,31,31,900,22.2,.523,.461,.370,.393,416,1.3,11.8,6.4,39.6,3.7,0.4,13.0,23.9,,2.5,2.4,4.9,.218,,5.7,4.0,9.7,vanvlfr01,fred-van-vleet-1
1178,2014-15,UNLV,MWC,23,23,742,20.2,.547,.521,.430,.299,352,2.3,13.7,8.4,11.8,1.5,1.1,11.8,30.8,,1.4,1.1,2.5,.132,,3.0,-1.8,1.3,vaughra01,rashad-vaughn-1
1179,2013-14,Indiana,Big Ten,30,29,794,22.2,.604,.560,.153,.620,321,10.8,27.3,19.4,4.9,1.9,5.4,18.6,21.4,,1.6,2.0,3.6,.182,,1.2,4.9,6.1,vonleno01,noah-vonleh-1
