,season,school_name,conf_abbr,g,gs,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,id,cbb_id
39,1986-87,Alabama,SEC,33,33,1009,.616,.597,.000,.449,,,,,,,,13.2,,anslemi01,michael-ansley-1
40,1987-88,Alabama,SEC,31,30,1085,.597,.560,.003,.440,,,,,,,,13.8,,anslemi01,michael-ansley-1
41,1988-89,Alabama,SEC,31,31,1053,.606,.573,.009,.348,,,,,,,,13.3,,anslemi01,michael-ansley-1
42,1986-87,Portland,WCAC,28,27,923,.490,.446,.257,.390,,,,,,,,14.0,,anthogr01,greg-anthony-1
43,1987-88,UNLV,PCAA,,,,,,,,,,,,,,,,,anthogr01,greg-anthony-1
44,1988-89,UNLV,Big West,36,34,1025,.552,.510,.357,.437,,,,,,,,20.2,,anthogr01,greg-anthony-1
45,1989-90,UNLV,Big West,39,,1160,.563,.528,.379,.467,,,,,,,,23.8,,anthogr01,greg-anthony-1
46,1990-91,UNLV,Big West,35,,1100,.568,.529,.369,.330,,,,,,,,16.0,,anthogr01,greg-anthony-1
47,1983-84,Niagara,ECACN,28,,423,.501,,,.414,,,,,,,,16.0,,arlaujo01,joe-arlauckas-1
48,1984-85,Niagara,ECACN,27,,969,.509,,,.299,,,,,,,,9.4,,arlaujo01,joe-arlauckas-1
