,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
77,1971-72,30,TOT,ABA,C,84,2264,11.9,.491,.001,.221,10.0,23.1,16.5,7.7,,,18.0,15.5,,0.5,2.2,2.7,.058,hargeir01
78,1971-72,30,FLO,ABA,C,53,1809,12.0,.484,.002,.219,10.0,23.8,16.8,7.5,,,17.2,15.9,,0.2,1.7,1.9,.050,hargeir01
79,1971-72,30,UTS,ABA,C,31,455,11.3,.524,.000,.229,10.1,20.2,15.4,8.6,,,21.2,14.0,,0.3,0.5,0.9,.091,hargeir01
80,1972-73,31,TOT,ABA,C,17,177,2.4,.383,.000,.250,8.8,24.0,16.7,6.1,,,27.7,13.3,,-0.2,0.2,0.0,-0.005,hargeir01
81,1972-73,31,UTS,ABA,C,13,100,6.2,.446,.000,.273,8.3,26.0,17.7,7.4,,,19.6,12.0,,-0.1,0.1,0.1,.038,hargeir01
82,1972-73,31,CAR,ABA,C,4,77,-2.7,.304,.000,.222,9.3,21.4,15.4,4.4,,,35.8,15.0,,-0.2,0.1,-0.1,-0.060,hargeir01
83,1964-65,22,BAL,NBA,PF,24,114,8.8,.299,,.219,,,,13.3,,,,,,-0.5,0.0,-0.5,-0.210,huntele01
84,,25,MNM,ABA,PF,75,2552,18.0,.466,.014,.388,,,12.5,6.9,,,12.6,22.4,,1.8,6.6,8.4,.158,huntele01
85,,26,MMF,ABA,PF,77,2537,16.1,.507,.005,.418,,,13.7,7.0,,,14.8,21.2,,2.9,2.7,5.6,.106,huntele01
86,1969-70,27,NYA,ABA,PF,79,2859,13.1,.493,.037,.385,,,11.3,10.7,,,18.5,21.2,,2.0,3.0,4.9,.083,huntele01
87,1970-71,28,TOT,ABA,PF,80,1525,13.2,.501,.076,.346,,,14.1,8.0,,,17.0,20.9,,1.0,1.2,2.2,.070,huntele01
88,1970-71,28,NYA,ABA,PF,5,110,-0.9,.376,.000,.205,,,9.3,2.4,,,28.6,20.6,,-0.2,0.1,-0.2,-0.074,huntele01
89,1970-71,28,KEN,ABA,PF,75,1415,14.3,.509,.081,.355,,,14.4,8.4,,,16.2,21.0,,1.2,1.2,2.4,.081,huntele01
90,1971-72,29,KEN,ABA,PF,70,967,13.6,.529,.042,.376,6.5,14.5,10.7,12.8,,,17.2,21.5,,1.3,1.4,2.7,.134,huntele01
91,1972-73,30,MMT,ABA,PF,63,1333,13.4,.540,.070,.285,6.7,15.5,11.0,10.0,,,15.1,18.2,,1.6,0.5,2.1,.077,huntele01
92,,22,LAS,ABA,PG,71,2314,13.6,.492,.062,.302,,,5.9,15.5,,,14.4,21.0,,1.8,1.3,3.1,.064,jacksme01
93,1969-70,23,LAS,ABA,PG,52,1118,8.2,.425,.093,.240,,,5.4,14.1,,,13.8,20.1,,-1.1,0.9,-0.2,-0.009,jacksme01
94,1970-71,24,UTS,ABA,PG,65,1902,13.1,.480,.024,.292,,,5.9,15.8,,,12.9,20.9,,0.4,2.7,3.1,.079,jacksme01
95,1971-72,25,UTS,ABA,PG,52,1136,11.7,.508,.036,.265,4.0,5.7,4.9,18.0,,,16.1,18.6,,0.8,1.0,1.8,.075,jacksme01
96,1972-73,26,MMT,ABA,PG,22,420,6.0,.422,.107,.340,2.0,6.9,4.4,24.1,,,22.8,14.1,,-0.4,0.2,-0.2,-0.027,jacksme01
97,1963-64,25,BAL,NBA,PF,78,2847,16.3,.460,,.240,,,,,,,,,,1.0,2.5,3.5,.060,johnsgu01
98,,26,BAL,NBA,SF,76,2899,16.6,.457,,.280,,,,13.6,,,,,,1.3,0.8,2.2,.036,johnsgu01
99,1965-66,27,BAL,NBA,SF,41,1284,17.4,.458,,.269,,,,12.3,,,,,,0.4,1.3,1.6,.060,johnsgu01
100,1966-67,28,BAL,NBA,SF,73,2626,17.6,.489,,.278,,,,10.5,,,,,,2.7,2.3,5.0,.092,johnsgu01
101,,29,BAL,NBA,SF,60,2271,17.1,.497,,.261,,,,9.7,,,,,,2.3,3.0,5.3,.112,johnsgu01
102,,30,BAL,NBA,PF,49,1671,17.5,.499,,.285,,,,7.9,,,,,,2.2,3.0,5.1,.148,johnsgu01
103,,31,BAL,NBA,PF,78,2919,16.3,.483,,.212,,,,11.5,,,,,,0.9,5.0,5.9,.097,johnsgu01
104,,32,BAL,NBA,PF,66,2538,18.9,.494,,.266,,,19.6,10.3,,,,,,2.2,5.0,7.2,.136,johnsgu01
105,1971-72,33,BAL,NBA,PF,39,668,12.2,.420,,.234,,,15.9,10.5,,,,,,-0.8,0.9,0.1,.007,johnsgu01
